Name,Platform,Year_of_Release,Genre,Publisher,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,ID
Dynasty Warriors: Strikeforce,Sony PS3,2009.0,Action,Tecmo Koei,64.0,27.0,7.3,15.0,Omega Force,T,5983
From TV Animation One Piece: Treasure Battle!,GC,2002.0,Fighting,Namco Bandai Games,,,,,,,5984
Alvin and the Chipmunks: The Squeakquel,Nintendo DS,2009.0,Misc,Majesco Entertainment,,,,,ImaginEngine,E,5985
Dolphin,Atari 2600,1983.0,Action,Activision,,,,,,,5986
NieR,Xbox360,2010.0,Role-Playing,Square Enix,67.0,60.0,8.3,126.0,Cavia Inc.,M,5987
Zoo Tycoon 2 DS,Nintendo DS,2008.0,Strategy,THQ,60.0,17.0,5.4,7.0,Altron,E,5988
Area 51,XB,2005.0,Shooter,Midway Games,72.0,43.0,8.1,16.0,Midway Studios - Austin,M,5989
Deadpool,Sony PS4,2015.0,Action,Activision,60.0,11.0,5.7,68.0,High Moon Studios,M,5990
UEFA Euro 2016,Sony PS4,2016.0,Sports,Konami Digital Entertainment,72.0,7.0,6.6,8.0,Konami,E,5991
Hamster Club 4: Shigessa Daidassou,GBA,2003.0,Simulation,Jorudan,,,,,,,5992
Imagine: Fashion Designer World Tour,Nintendo DS,2009.0,Simulation,Ubisoft,,,,,Virtual Toys,E,5993
Wanted: Weapons of Fate,Sony PS3,2009.0,Shooter,Warner Bros. Interactive Entertainment,61.0,56.0,7.1,25.0,GRIN,M,5994
Mega Man X8,PS2,2004.0,Platform,Capcom,68.0,23.0,8.5,63.0,"Valuewave Co.,Ltd.",E,5995
The Chronicles of Riddick: Assault on Dark Athena,Xbox360,2009.0,Shooter,Atari,82.0,67.0,8.2,73.0,Starbreeze,M,5996
Ford Mustang: The Legend Lives,PS2,2005.0,Racing,Take-Two Interactive,58.0,5.0,7.3,8.0,Eutechnyx,E,5997
Fast Food,Atari 2600,1981.0,Action,Unknown,,,,,,,5998
TouchMaster: Connect,Nintendo DS,2010.0,Puzzle,Warner Bros. Interactive Entertainment,,,,,DoubleTap Games,E,5999
FlatOut: Head On,Sony PSP,2008.0,Racing,Empire Interactive,74.0,28.0,8.2,21.0,Bugbear,T,6000
Jikkyou Powerful Pro Yakyuu 8,PS2,2001.0,Sports,Konami Digital Entertainment,,,,,,,6001
Jeremy McGrath Supercross 2000,N64,1999.0,Racing,Acclaim Entertainment,,,,,,,6002
Supercross 2000,N64,1999.0,Racing,Electronic Arts,,,,,,,6003
War Gods,N64,1997.0,Fighting,Midway Games,,,,,,,6004
Viz,N64,1998.0,Racing,Acclaim Entertainment,,,,,,,6005
Top Gear Overdrive,N64,1998.0,Racing,Kemco,,,,,,,6006
Ken Griffey Jr.'s Slugfest,N64,1999.0,Sports,Nintendo,,,,,,,6007
The New Tetris,N64,1999.0,Puzzle,Nintendo,,,,,,,6008
Xena: Warrior Princess - The Talisman of Fate,N64,1999.0,Fighting,Titus,,,,,,,6009
The Godfather: Dons Edition,Sony PS3,2007.0,Action,Electronic Arts,,,,,,,6010
Duel Masters: Sempai Legends,GBA,2003.0,Misc,Atari,69.0,19.0,8.0,5.0,Mistic Software,E,6011
Marvel Super Hero Squad,PS2,2009.0,Fighting,THQ,,,,,THQ,E10+,6012
John Deere: Harvest in the Heartland,Nintendo DS,2007.0,Simulation,Ubisoft,43.0,7.0,,,Black Lantern Studios,E,6013
Harvest Moon: Magical Melody,Nintendo Wii,2008.0,Simulation,Rising Star Games,69.0,14.0,8.8,17.0,Marvelous Entertainment,E,6014
Resident Evil: Revelations 2,Sony PS3,2015.0,Action,Capcom,,,6.8,48.0,Capcom,M,6015
Heroes of the Pacific,PS2,2005.0,Simulation,Codemasters,76.0,31.0,8.4,15.0,IR Gurus,T,6016
Prince of Persia: Rival Swords,Nintendo Wii,2007.0,Action,Ubisoft,70.0,30.0,7.7,21.0,Ubisoft Montreal,T,6017
The Lord of the Rings: The Third Age,GC,2004.0,Role-Playing,Electronic Arts,74.0,25.0,7.8,19.0,EA Games,T,6018
Trace Memory,Nintendo DS,2005.0,Adventure,Nintendo,70.0,51.0,8.1,42.0,Cing,T,6019
X-Men Legends II: Rise of Apocalypse,Sony PSP,2005.0,Role-Playing,Activision,84.0,30.0,8.2,43.0,Vicarious Visions,T,6020
Nicktoons: Battle for Volcano Island,GC,,Action,Unknown,,,7.0,4.0,Blue Tongue Entertainment,E,6021
Just Dance Wii 2,Nintendo Wii,2012.0,Misc,Nintendo,,,,,,,6022
Senran Kagura Shinovi Versus: Sh?jo-tachi no Sh?mei,Sony PS Vita,2013.0,Fighting,Marvelous Entertainment,,,,,,,6023
Borderlands: The Pre-Sequel,PC,2014.0,Shooter,Take-Two Interactive,75.0,55.0,6.2,703.0,2K Australia,M,6024
Madden NFL 08,XB,2007.0,Sports,Electronic Arts,76.0,6.0,6.0,4.0,EA Tiburon,E,6025
